initial_alias,name
ENSMUSG00000052508,Or12j5
ENSMUSG00000106621,Gm42752
ENSMUSG00000022425,Enpp2
ENSMUSG00000097086,Gm7672
ENSMUSG00000113266,Gm19563
ENSMUSG00000081260,Gm13149
ENSMUSG00000054493,Gm9947
ENSMUSG00000087620,5330434G04Rik
ENSMUSG00000030775,Trat1
ENSMUSG00000107093,Gm43452
ENSMUSG00000102740,Gm37599
ENSMUSG00000029236,Nmu
ENSMUSG00000107306,Gm42577
ENSMUSG00000080566,Gm26044
ENSMUSG00000043939,A530064D06Rik
ENSMUSG00000116091,Gm49479
ENSMUSG00000116768,Gm18269
ENSMUSG00000064851,Gm24525
ENSMUSG00000092394,Gm20445
ENSMUSG00000105598,Gm43186
ENSMUSG00000081806,Gm14901
ENSMUSG00000083998,Prdx2-ps2
ENSMUSG00000077734,Snord83b
ENSMUSG00000117599,Gm49971
ENSMUSG00000096822,Or1j15
ENSMUSG00000114443,Gm19241
ENSMUSG00000113978,Gm48260
ENSMUSG00000081103,Rps12-ps26
ENSMUSG00000077457,Snord65
ENSMUSG00000043631,Ecm2
ENSMUSG00000044528,Tram1l1
ENSMUSG00000024331,Dsc2
ENSMUSG00000096486,Gm5426
ENSMUSG00000107845,Gm44212
ENSMUSG00000117654,Gm50050
ENSMUSG00000114434,Gm48360
ENSMUSG00000088185,Scarna2
ENSMUSG00000114777,Gm46427
ENSMUSG00000091383,H2af-ps2
ENSMUSG00000043388,Tmem130
ENSMUSG00000097011,Gm4651
ENSMUSG00000109787,Gm45286
ENSMUSG00000064006,Or5h22
ENSMUSG00000116867,Gm49677
ENSMUSG00000117184,Gm49851
ENSMUSG00000113855,Gm49374
ENSMUSG00000116707,Gm49590
ENSMUSG00000112084,Gm10773
ENSMUSG00000053182,Cd200l1
ENSMUSG00000075176,Or8k38
ENSMUSG00000104525,Gm37334
